subject,course,period,workload
Tópicos em Sistemas Distribuídos I,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Sistemas Distribuídos II,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Sistemas Distribuídos III,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Tópicos em Sistemas Operacionais,"Ciência da Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Tópicos em Teoria dos Grafos,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
"Verificação, Validação e Teste I","Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
"Verificação, Validação e Teste II","Ciência da Computação(OPT), Engenharia de Computação(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Compiladores II,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT)",Integral,68 Horas
Engenharia Econômica para Software,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,34 Horas
Introdução a Complexidade Computacional,"Ciência da Computação(OPT), Engenharia de Software(OPT)",Integral,68 Horas
Jogos Digitais I,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT)",Integral,68 Horas
Jogos Digitais II,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT)",Integral,68 Horas
Linguagem de Montagem,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT)",Integral,68 Horas
Segurança da Informação,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas",Integral,68 Horas
Introdução a Contabilidade,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Teorias Administrativas,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Educação das Relações Étnico-Raciais,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,34 Horas
Estudo de Libras,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Metodologia Científica,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,34 Horas
Introdução a Economia,"Ciência da Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Introdução a Psicologia,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Introdução a Sociologia,"Ciência da Computação(OPT), Engenharia de Software(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Introdução as Ciências Sociais e Políticas,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Ciências do Ambiente,"Ciência da Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,34 Horas
Análise Forense Computacional,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Desafios de Programação,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Desenvolvimento de Linhas de Produto de Software,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Análise e Desenvolvimento de Sistemas(OPT)",Integral,68 Horas
Geometria Computacional,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Implementação e Experimentação Algorítmica,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
Introdução a Bioinformática,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Introdução a Criptografia Computacional,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Laboratório de Desenvolvimento de Sistemas Orientado a Objetos,"Ciência da Computação(OPT), Sistemas de Informação(OPT), Tecnologia em Redes de Computadores(OPT)",Integral,68 Horas
Otimização Combinatória,"Ciência da Computação(OPT), Engenharia de Computação(OPT), Engenharia de Software(OPT), Sistemas de Informação(OPT)",Integral,68 Horas
